,Unnamed: 0,golf_name,before_name,핫딜,단독,num,classify01,hole_size,region,address,homepages,phone_num,green_fee(주중),green_fee(토요일),green_fee(일요일),green_fee(공휴일),cart_fee,caddie_fee
0,0,360도,,1,,116,대중제,18,경기,경기도 여주시 강천면 부평로 609,http://www.360cc.co.kr/,031-880-3600,200000,270000,270000,270000,100000,150000
2,2,썬 밸리 일죽 ,,1,,1573,대중제,18,충북,충북 음성군 삼성면 대사리 500-16,http://www.sunvalley.co.kr/iljuk/golf/intro,043-881-5307,200000,260000,260000,260000,100000,140000
3,3,88,,,,324,회원제,36,경기,경기도 용인시 기흥구 석성로 521번지 169,http://www.88countryclub.co.kr/,031-679-9776,187000,237000,237000,237000,90000,150000(18홀)/80000원(9홀)
4,4,BnBK스프링베일(P9),,,,956,대중제,9,강원,강원도 춘천시 동면 만천리 산 20,http://www.springvale.co.kr/,033-254-7900,월별상이,월별상이,월별상이,월별상이,(18홀)90000,노캐디
5,5,H1 CLUB,덕평,1,,1442,회원제,18,경기,경기도 이천시 호법면 장자터로 115,http://www.h1club.co.kr/,031-630-0900,200000,270000,270000,270000,100000,150000
6,6,SG아름다운,,,,404,대중제,27,충남,충남 아산시 영인면 영인산로 440,http://www.arumdaunresort.com/,1566-5855,190000,250000,250000,250000,90000,140000
7,7,감곡,,,,1541,대중제,18,충북,충북 음성군 감곡면 오갑길 195,http://www.gamgok.co.kr/,043-882-1600,200000,280000,280000,280000,100000,130000 / 5월부터 150000
8,8,강남300,,,1,132,회원제,18,경기,경기도 광주시 목동 497-6,http://www.kn300.com/main/main.asp,031-719-0300,220000,285000,285000,285000,120000,150000
10,10,강촌명문회원제,,1,,1087,회원제,27,강원,강원도 춘천시 남산면 북한강변길 688,http://www.elysian.co.kr/,033-260-2000,230000,260000,260000,260000,100000,130000
12,12,거제뷰,,,,193,대중제,18,경남,경상남도 거제면 옥산리 285-3,http://www.geojeview.co.kr/,055-639-2222,125000,155000,155000,155000,90000,130000
13,13,경주,,,,169,대중제,27,경북,경상북도 경주시 보문로 182-98번지,http://www.kyongjugolf.co.kr/,054-778-8989,월별상이,월별상이,월별상이,월별상이,80000,130000
14,14,고창,,1,,376,대중제,18,전북,전라북도 고창군 애향갯벌로 70,http://www.gochangcc.co.kr/,063-560-7744,월별상이,월별상이,월별상이,월별상이,80000,130000
16,16,골드,,,,429,회원제,36,경기,경기도 용인시 기흥구 기흥단지로 398,http://www.kgav.com/,02-777-2161,190000,260000,260000,260000,90000/4월1부터 100000,150000(3부 160000)
17,17,골드레이크,,,,352,회원제,18,전남,전라남도 나주시 나주호로 442-129,http://www.goldlake.co.kr/,061-339-3000,160000,200000,200000,200000,80000,130000
18,18,골든베이,,,,383,회원제,27,충남,충청남도 태안군 근흥면 정산포로 217,http://www.goldenbay.kr/golden/main.do,041-671-8000,160000,200000,200000,200000,90000,140000
19,19,골프존카운티 천안,버드우드,,,679,회원제,18,충남,충남 천안시 동남구 병천면 매성리 335-1번지,http://www.birdwood.co.kr/,041-558-9900,180000,220000,220000,220000,90000,130000
20,20,골프클럽Q,안성Q,,,1180,대중제,18,경기,경기도 안성시 죽산면 장계길 20-229,http://www.anseongq.com/index.asp,031)80467000,월별상이,월별상이,월별상이,월별상이,90000,150000
21,21,구니,,,,931,대중제,18,경북,경상북도 군위군 도군로 2450,http://www.gunicc.co.kr/,054-380-0000,150000,180000,180000,180000,90000(노캐디 110000),130000
22,22,군산,,1,,635,대중제,81,전북,전북 군산시 옥서면 옥봉리 1541-14,http://www.gunsancc.net/,063-472-3355,월별상이,월별상이,월별상이,월별상이,80000,140000
24,24,그랜드 청주,,,,301,회원제,27,충북,충청북도 청주시 청원구 오창읍 꽃화산길 14,http://www.grandgolf.co.kr/,043-212-7111,220000,260000,260000,260000,90000,140000(3부: 150000)
25,25,그린필드,,,,411,회원제,18,제주,제주특별자치도 제주시 조천읍 와흘리 산31,http://www.greenfieldcc.co.kr/,064-720-7000,109000,144000,144000,144000,100000,130000
26,26,그린힐,,,,120,회원제,18,경기,경기도 광주시 곤지암읍 이선리 208-2,http://www.shinancc.co.kr/greenhill/greenhill_main.shn,02-3467-0992,"월 195000
화~목 220000
금 240000",300000,280000,300000,100000,150000
27,27,글렌로스(P9),,,,326,대중제,9,경기,경기도 용인시 처인구 포곡읍 에버랜드로 562번길 69,http://www.golfsamsung.com/,1577-9727,월별상이,월별상이,월별상이,월별상이,90000(18H 기준),130000(18H 기준)
28,28,금강,,,,105,회원제,27,경기,경기 여주시 가남읍 여주남로 541,http://www.kccgolf.co.kr/,031-880-0707,200000,270000,270000,270000,100000,150000
29,29,금산에딘버러,,,,428,회원제,18,충남,충남 금산군 진산면 살구정길 167,http://www.edinburgh.co.kr/,041-750-0114,190000,230000,230000,230000,80000,140000
30,30,기흥,,,,312,회원제,36,경기,경기도 화성시 동탄면 풀무골로 106번길 244,http://www.ghcc.kr/,031-379-4001,210000,270000,270000,270000,100000,150000
31,31,나주부영,,,,831,대중제,18,전남,전라남도 나주시 혁신로 200,http://njbooyoungcc.co.kr/,061-320-5500,60000,90000,90000,90000,80000,120000
32,32,남서울,,,,130,회원제,18,경기,경기 성남시 분당구 판교백현로161.,http://www.nscc.co.kr/,031-709-6000,250000,290000,290000,290000,100000,140000
33,33,남양주(P9),,,,367,대중제,9,경기,경기도 남양주 오남읍 오남리 산 171-3,http://www.namyangjucc.co.kr/,031-529-6060,월별상이,월별상이,월별상이,월별상이,90000/18홀,140000/18홀
34,34,남원상록,,,,929,대중제,18,전북,전라북도 남원시 대산면 월계길 11,http://www.sangnokresort.co.kr/gate.home?cmd=namwonGC,063-630-1400,110000,150000,150000,150000,80000,130000
35,35,남춘천,,1,,707,대중제,18,강원,강원도 춘천시 신동면 혈동리 산222,http://www.namchuncheon.co.kr/,033-269-3000,220000,250000,250000,250000,100000,140000
37,37,내장산,,,,1133,대중제,18,전북,전라북도 정읍시 첨단과학로 476,http://www.naejangsancc.com/,063-570-7777,160000,190000,190000,190000,80000,140000
38,38,뉴서울,,,,106,회원제,36,경기,경기도 광주시 삼지곡길 95 (삼동 1번지),http://www.newseoulgolf.co.kr/,031-760-8000,200000,270000,270000,270000,100000,150000
39,39,뉴스프링빌,,,,109,회원제,36,경기,경기도 이천시 모가면 사실로 527번길 158,http://www.newspringvillecc.co.kr/,02-2263-0707,월별상이,월별상이,월별상이,월별상이,90000,130000
40,40,뉴코리아,,,,349,회원제,18,경기,경기도 고양시 덕양구 신원2로 57,http://www.newkoreacc.co.kr/,02-385-8080,210000,260000,250000,260000,100000,140000
41,41,다산베아채,,,,729,대중제,27,전남,전남 강진군 학장용산길 101 (도암면 학장리 216-4),http://www.beachegolf.com/,061-430-9999,135000(금 2부 155000),175000,175000,175000,100000,130000
42,42,다이아몬드,,,,536,대중제,18,경남,경상남도 양산시 상북면 상삼리 산 15번지,http://www.diamondcc.co.kr/,055-392-0700,월별상이,월별상이,월별상이,월별상이,80000,130000
43,43,담양레이나,,,,403,대중제,18,전남,전남 담양군 금성면 외추리 산79,http://www.reinacc.co.kr/,061-380-7500,147500,182500,182500,182500,90000,130000
44,44,대가야(P9),,,,1172,대중제,9,경북,경상북도 고령군 대가야읍 대가야로 1103,http://www.daegayacc.com/,054-956-0009,월별상이,월별상이,월별상이,월별상이,80000원,130000원
45,45,대영베이스,,,,194,대중제,18,충북,충청북도 충주시 대소원면 성종두담길 113번지,http://basecc.co.kr/default.aspx,043-850-8600,월별상이,월별상이,월별상이,월별상이,100000,12부 140000 / 3부 150000
46,46,대영힐스,,,1,951,대중제,27,충북,충청북도 충주시 대소원면 성종두담길 114,http://dyhills.basecc.co.kr:6443/Main/Main.aspx,043-850-8600,월별상이,월별상이,월별상이,월별상이,100000,12부 140000 / 3부 150000
48,48,대호단양,,1,,317,대중제,18,충북,충청북도 단양군 매포읍 고양5길 43,http://www.daehocc.co.kr/,043-420-7111,월별상이,월별상이,월별상이,월별상이,100000,140000(3부 160000/운전캐디 90000)
50,50,더 시에나컨트리클럽,제주컨트리클럽,,,613,대중제,18,제주,제주특별자치도 제주시 516로 2695(영평동),http://www.jejucountryclub.com/,064-702-0451,165000,195000,195000,195000,100000,130000
51,51,더크로스비,,1,1,850,대중제,27,경기,경기도 이천시 호법면 단천리 산 11-1,http://www.thecrosbygc.co.kr/,031-730-8600,190000,250000,250000,250000,100000,130000(11/1이후 140000)
55,55,더플레이어스,,1,,155,대중제,27,강원,강원도 춘천시 동산면 새술막길 438,http://www.playersgc.com/,033-250-5000,200000,250000,250000,250000,100000,140000
57,57,델피노설악,,,,153,대중제,18,강원,강원도 고성군 토성면 미시령옛길 1153,http://www.dgolfclub.com/main.dp/dmparse.dm,033-639-8401,210000,260000,260000,260000,100000,140000
58,58,동원썬밸리,,,1,1106,대중제,18,강원,강원도 횡성군 서원면 서원서로339번길 90,http://www.sunvalley.co.kr/dongwon/golf/intro,02-3660-3003,160000,220000,220000,220000,100000(27홀 150000),130000(27홀 200000)
59,59,동전주써미트,,,1,925,대중제,27,전북,전북 진안군 부귀면 봉암리 산80-1,http://www.summitcc.co.kr/,063-430-5000,150000,200000,200000,200000,90000,140000
61,61,동촌,,,1,924,대중제,18,충북,충청북도 충주시 노은면 감노로 1327,http://www.dongchongc.co.kr/,043-722-0707,월별상이,월별상이,월별상이,월별상이,90000,140000
63,63,드래곤레이크,,,,165,대중제,27,전북,전라북도 남원시 대사로 500,http://www.dragonlake.co.kr/,063-630-3000,월별상이,월별상이,월별상이,월별상이,100000(5인 125000),130000
64,64,드비치,,,,652,회원제,18,경남,경남 거제시 장목면 송진포리 산77-3,http://www.debeach.co.kr/,055-736-3000,180000,230000,230000,230000,90000,130000
66,66,떼제베,,,1,306,대중제,36,충북,충청북도 청주시 흥덕구 옥산면 동림2길 149,http://www.tgvcc.co.kr/,043-236-4381,월별 상이,월별 상이,월별 상이,월별 상이,90000,140000(3부 150000)
68,68,라데나,,,,473,회원제,27,강원,강원도 춘천시 신동면 칠전동길 72,http://www.ladena.co.kr/,033-260-1114,200000,250000,230000,250000,90000,140000
69,69,라비에벨 듄스코스,,,,377,대중제,18,강원,강원 춘천시 동산면 조양리 산 172,http://www.lavieestbellegolfnresort.com/,033-245-7100,1부 140000 2부 160000,1부 220000 2부 200000,1부 220000 2부 180000,1부 220000 2부 200000,80000,130000
70,70,라비에벨 올드코스,,,,525,대중제,18,강원,강원도 춘천시 동산면 조양리 산199,http://www.lavieestbellegolfnresort.com/,033-245-7000,월별상이,월별상이,월별상이,월별상이,80000,140000
71,71,라싸,,,1,1207,대중제,27,경기,경기도 포천시 이동면 연곡리 산 137번지,http://www.lassagc.com/index.asp,031-538-0600,월별상이,월별상이,월별상이,월별상이,90000,140000(5/1~)
73,73,라온,,,,354,대중제,27,제주,제주특별자치도 제주시 한경면 용금로 998,http://www.raon.co.kr/,064-795-8000,160000,200000,200000,200000,100000,140000
74,74,라헨느,,,,626,회원제,27,제주,제주특별자치도 제주시 봉개동 237-5,http://www.lareine.co.kr/,064-754-9000,150000,200000,200000,200000,100000,120000
75,75,레이캐슬,,,,1187,대중제,27,충남,세종특별자치시 전의면 의당전의로 252,http://www.sjraycastle.com/,1577-3113,190000,250000,250000,250000,90000,130000 (3/1이후 140000원)
76,76,레이크사이드,,,,990,회원제,18,경기,경기도 용인시 처인구 모현면 능원로 181,http://www.lakeside.kr/,031-334-2111,월별상이,월별상이,월별상이,월별상이,90000,130000
77,77,레이크우드,,,,113,회원제,36,경기,경기도 양주시 만송로 244,http://www.lakewood.co.kr/,031-820-1500,210000,270000,270000,270000,100000,140000
78,78,레이크힐스제주,,,,1519,회원제,27,제주,제주특별자치도 서귀포시 산록남로(중문동) 1391,http://lhjeju.co.kr/,064-738-8858,118000,150000,150000,150000,120000,120000
79,79,레인보우힐스,,,,686,대중제,27,충북,충청북도 음성군 생극면 생리 산14-1,http://www.rainbowhills.co.kr/index.asp,043-879-7950,~220000,~290000,~290000,~290000,90000,140000
80,80,로드힐스,,,,540,대중제,27,강원,강원도 춘천시 동산면 종자리로 148-16번지,http://www.lordhills.co.kr/,033-269-8888,180000,230000,230000,230000,90000,140000
81,81,로얄링스,현대더링스,,,873,대중제,36,충남,충청남도 태안군 태안읍 기업도시6길 43,http://www.royallinks.co.kr/,041-670-0333,180000,240000,240000,240000,90000,140000
82,82,로얄포레,,,,685,대중제,18,충북,충청북도 충주시 신니면 화치3길 35,http://www.royalforet.com/,043-857-5000,월별 상이,월별 상이,월별 상이,월별 상이,100000,12부 140000 / 3부 150000
83,83,롯데스카이힐김해,,,,699,회원제,18,경남,경상남도 김해시 진례면 고모로134번길 54-49,http://www.skyhill.co.kr/Gimhae,055-340-9000,190000,220000,220000,220000,90000,130000
84,84,롯데스카이힐부여,,,1,333,대중제,18,충남,충청남도 부여군 규암면 백제문로 470,http://www.skyhill.co.kr/htmlCC/buyeo/main/main.jsp,041-939-1700,월별상이,월별상이,월별상이,월별상이,90000,130000(7/1 부터 140000)
86,86,롯데스카이힐제주,,,,695,회원제,18,제주,제주특별자치도 서귀포시 상예로 530,http://www.skyhill.co.kr/htmlCC/jeju/main/main.jsp,064-731-2000,210000,270000,270000,270000,100000,130000
87,87,루나힐스안성,안성 아덴힐,1,1,747,대중제,18,경기,경기도 안성시 양성면 약산길 67-6,http://www.lunahills.co.kr/,031-612-6000,190000,290000,290000,290000,90000,140000 / 150000 (7월16일~)
90,90,루트52,,,,1415,대중제,18,경기,여주시 북내면 중암1길 36 루트52컨트리클럽,http://www.route52cc.com/,031-882-0052,월별상이,월별상이,월별상이,월별상이,,
91,91,리베라,,,,457,회원제,36,경기,경기도 화성시 동탄면 중리길 183,http://www.shinangolf.com/club/rivieracc,02-3467-0700,"월 210000
화~목 240000
금 260000",320000,300000,320000,100000,130000 (3부 140000)
93,93,리앤리,,,,154,대중제,27,경기,경기도 가평군 하면 운악청계로 702-24,http://www.leenleecc.co.kr/,031-580-9000,190000,250000,250000,250000,100000(2월부터 적용),140000
94,94,링크나인(P9),,1,,849,대중제,9,경기,경기도 화성시 마도면 고모리 625-2,http://www.linknine.co.kr/#3,031-831-0900,120000,160000,160000,160000,80000,140000
96,96,마론뉴데이,,,,680,회원제,18,충남,충청남도 천안시 동남구 북면 운용리 489,http://www.maronnewday.com/,041-623-5555,180000,230000,230000,230000,90000,140000
97,97,마에스트로,,,,985,대중제,18,경기,경기도 안성시 양성면 안성맞춤대로 2134-36,http://www.maestrocc.co.kr/,031-8046-1000,월별상이,월별상이,월별상이,월별상이,90000,130000
98,98,마우나오션,,,,384,회원제,18,경북,경상북도 경주시 양남면 동남로 982 마우나오션CC,http://www.mauna.co.kr/,054-740-0678,165000,190000,190000,190000,90000,1~2부 130000/3부 140000
99,99,몽베르,,,,311,회원제,36,경기,경기도 포천시 영북면 산정리 558 - 1,http://www.montvertcc.com/,031-531-1100,남170000 북190000,남230000 북250000,남230000 북250000,남230000 북250000,90000원,140000원
100,100,무안클린밸리,,,,774,대중제,18,전남,전라남도 무안군 청계면 태봉길 33-100번지 클린밸리,http://www.muancleanvalley.com/,061-452-3100,월별 상이,월별 상이,월별 상이,월별 상이,80000,130000
101,101,문경,,,,957,대중제,18,경북,경상북도 문경시 마성면 문경골프장길 240,http://www.mgle.co.kr/,054-550-5000,월별상이,월별상이,월별상이,월별상이,80000,130000
102,102,밀양 노벨,,,,1081,대중제,18,경남,경남 밀양시 단장면 안법리 산15번지,http://www.miryangnobelcc.co.kr/Miryang_nobel/html/company/company_05.asp#,055-359-8500,130000,170000,170000,170000,90000,130000(3부 140000)
103,103,발리오스,,,,390,회원제,18,경기,경기도 화성시 팔탄면 화당리 116번지,http://www.baliosgc.com/index.asp,031-352-5061,210000,270000,270000,270000,100000,140000
104,104,백제,,1,1,444,대중제,27,충남,충청남도 부여군 은산면 충절로 3734-82,http://www.baekjecc.com/,041-830-0700,150000,190000,180000,190000,80000,140000
107,107,벨라스톤,,1,1,206,대중제,18,강원,강원도 횡성군 서원면 옥계9길 124,http://www.bellastonecc.com/,033-340-9000,180000,240000,230000,240000,100000/노캐디시 120000,140000/ 마샬캐디 90000
110,110,보라,,,,642,회원제,27,경남,울산광역시 울주군 삼동면 삼동로 404,http://www.boracc.com/,052-255-1004,180000,230000,230000,230000,90000,130000
111,111,보령베이스(P9),,,,1370,대중제,9,충남,충남 보령시 옥마벚길 10(명천동),http://www.boryeongbase.co.kr/,041-939-3800,109000,159000,159000,159000,80000,140000
112,112,보문,,,,168,대중제,18,경북,경상북도 경주시 보문로 182-14번지,http://golf.gtc.co.kr/,054-745-1680,월별상이,월별상이,월별상이,월별상이,80000,130000
113,113,보성,,,,394,대중제,18,전남,전라남도 보성군 조성3길 338,http://www.bosungcc.co.kr/,061-804-1000,130000,170000,170000,170000,90000,130000
114,114,부곡,,,,651,회원제,18,경남,경상남도 창녕군 부곡면 온천로 445,http://www.bkcc.co.kr/,055-520-5000,150000,180000,180000,180000,90000,130000(3부 140000)
115,115,블랙스톤 벨포레,,1,,1131,대중제,18,충북,충청북도 증평군 도안면 벨포레길 346,http://www.blackstonebelleforet.com/,043-926-1001,월별상이,월별상이,월별상이,월별상이,100000,140000
117,117,블랙스톤제주,,,,1181,회원제,27,제주,제주특별자치도 제주시 한림읍 한창로 925-122,http://www.blackstoneresort.com/jj/,064-796-9988,220000,290000,290000,290000,100000,150000
118,118,블루원디아너스,,,,170,회원제,27,경북,경상북도 경주시 보불로 391,http://gj.blueone.com/index.jsp?,054-777-6601,월별상이,월별상이,월별상이,월별상이,90000,130000
119,119,블루원상주,,,,508,대중제,18,경북,경상북도 상주시 모서면 화현3길 127,http://sj.blueone.com/,054-530-8888,1500000,200000,200000,200000,90000,130000
121,121,블루원용인,,,,122,회원제,18,경기,경기도 용인시 처인구 원삼면 보개원삼로1534번길 40 ClubHouse,http://yi.blueone.com/,031-330-9700,월별상이,월별상이,월별상이,월별상이,90000,150000
122,122,블루헤런,,,,101,회원제,18,경기,경기도 여주시 대신면 고달사로 67,http://www.blueheron.co.kr/,031-880-0700,200000,270000,270000,270000,90000,130000/4월25일부터 150000원
123,123,비에이비스타,,,,981,"대중제,",36,경기,경기도 이천시 모가면 어농로 272,http://www.bavista.co.kr/,031-636-3577,220000,280000,270000,280000,100000,1-2부 140000(7/1부터 150000) 3부 150000
125,125,비콘힐스,,,,462,대중제,18,강원,강원도 홍천군 홍천읍 높은터로 533,http://www.beaconhills.co.kr/,033-439-5114,170000,240000,240000,240000,100000,140000
126,126,빅토리아(P9),,,,335,대중제,9,경기,경기도 여주시 가남읍 송림리 214,http://www.victoriagc.co.kr/,031-883-0111,월별상이,월별상이,월별상이,월별상이,90000,노캐디
127,127,사우스링스 영암,,,,149,대중제,18,전남,전라남도 영암군 삼호읍 에프원로 121-1,http://www.southlinks.co.kr/,061-460-6000,월별 상이,월별 상이,월별 상이,월별 상이,1인당 20000원,노캐디
128,128,사우스스프링스,,1,,396,대중제,18,경기,경기도 이천시 모가면 공원로 64,http://www.sscc.co.kr/,031-630-7000,월별상이,월별상이,월별상이,월별상이,100000,140000
130,130,샤인데일,,,,895,대중제,27,강원,강원도 홍천군 서면 동막리 산77번지,http://www.shinedale.com/,033-432-1111,월별 상이,월별 상이,월별 상이,월별 상이,100000,140000(3부 150000)
131,131,샴발라,,,1,284,대중제,18,경기,경기도 포천시 군내면 청군로 2856-93,http://www.shambhalacc.co.kr/,031-538-0500,210000,270000,270000,270000,100000,140000(특급캐디180000원)
133,133,서산수 단독,,,1,1006,대중제,18,충남,충청남도 서산시 대산읍 삼길포7로 6,http://seosansoo.com/,041-689-7700,월별 상이,월별 상이,월별 상이,월별 상이,90000,130000
134,134,서서울,,,,365,회원제,18,경기,경기도 파주시 광탄면 혜음로 324,http://www.seoseoul.co.kr/,02-6437-7000,200000,270000,270000,270000,100000,140000(3부 150000)
136,136,서원힐스,,1,1,1196,대중제,27,경기,경기도 파주시 광탄면 서원길 333,http://www.seowongolf.co.kr/,031-940-9400,월별상이,월별상이,월별상이,월별상이,90000,140000
139,139,석정힐,,,,152,대중제,18,전북,전라북도 고창군 고창읍 석정2로 192,http://www.hillcc.com/,063-560-7000,월별상이,월별상이,월별상이,월별상이,80000,140000
140,140,세레니티,실크리버,,,463,회원제,18,충북,충청북도 청주시 서원구 남이면 문곡구절골길235,http://www.serenitycc.co.kr/,043-277-5000,200000,250000,250000,250000,100000,150000
141,141,세븐밸리,,,1,893,대중제,18,경북,경상북도 칠곡군 왜관읍 봉계3길 180,http://www.sevenvalley.co.kr/,054-979-1000,150000,190000,190,190000,90000,130000
143,143,세이지우드 여수경도,,,,227,대중제,27,전남,전라남도 여수시 대경도길 111,http://www.yeosucc.co.kr/,061-660-1000,220000(금요일 2부 250000),280000,250000280000(2부 250000),280000,120000,130000
144,144,세이지우드 홍천,,,,921,대중제,27,강원,강원도 홍천군 광석로 898-160,http://www.sagewood.co.kr/hongcheon/golf,033-439-1000,월별상이,월별상이,월별상이,,120000,150000
145,145,세인트포(단독),,,,1357,대중제,36,제주,제주특별자치도 제주시 구좌읍 선유로 445-55,http://www.stfour.com/index.asp,064-786-3838,130000,170000,170000,170000,90000,130000
146,146,세일,,,,236,대중제,18,충북,충북 충주시 신니면 동락길 207번지,http://www.seilcc.co.kr/,043-841-6000,119000,169000,159000,169000,80000,120000
147,147,세현,,,,1300,대중제,18,경기,경기 용인시 처인구 이동읍 서리 70-3,http://www.sehyeoncc.com/,031-670-8800,월별상이,월별상이,월별상이,월별상이,100000,1-2부 140000 3부 150000
148,148,센추리21,,1,1,203,회원제,36,강원,강원도 원주시 문막읍 궁말길 193,http://www.century21cc.co.kr/,033-733-1000,190000,240000,240000,240000,100000,1~2부 140000/3부 150000
153,153,센테리움,,,,810,대중제,27,충북,충청북도 충주시 노은면 신효리 627-3번지,http://www.centeriumcc.com/,02-3468-7600,월별상이,월별상이,월별상이,월별상이,100000,140000
155,155,소피아그린,,,,435,대중제,27,경기,경기도 여주시 점동면 소피아그린길 84,http://www.sophiagreen.co.kr/,031-887-8100,월별 상이,월별 상이,월별 상이,월별 상이,90000,150000
156,156,솔라고,,,1,286,대중제,36,충남,충청남도 태안군 태안읍 송암리 1532-3,http://sollago.co.kr/,041-670-8888,160000,200000,200000,200000,90000,경력캐디14만 레드캐디11만/3부 드라이빙캐디9만
158,158,솔라시도,,,,1491,대중제,18,전남,전라남도 해남군 산이면 구성리 88-1,http://www.solaseadocc.com/main/main.asp,061-530-9500,월별 상이,월별 상이,월별 상이,월별 상이,100000,130000
159,159,솔모로,,1,1,440,회원제,36,경기,경기도 여주시 가남읍 솔모로그린길 171번지,http://www.solmoro.com/,031-880-7114,월별상이,월별상이,월별상이,월별상이,90000,150000
163,163,솔트베이,,1,,480,대중제,18,경기,경기도 시흥시 마유로 987,http://www.saltbay.co.kr/,031-400-0000,월별상이,월별상이,월별상이,월별상이,90000,140000
165,165,수원,,,,455,회원제,36,경기,경기도 용인시 기흥구 중부대로 495,http://www.suwoncc.co.kr/,031-288-6611,200000,260000,260000,260000,100000,130000
166,166,스마트KU,,,1,814,대중제,27,경기,경기도 파주시 법원읍 보광로 1616,http://kugolf.co.kr/,031-930-1623,월별 상이,월별 상이,월별 상이,월별 상이,80000,140000
168,168,스카이밸리,,1,1,107,회원제,36,경기,경기도 여주시 북내면 운촌길 254번지,http://www.skyvalley.co.kr/,031-880-8811,200000,270000,270000,270000,100000,150000
171,171,스톤게이트,,1,,1001,대중제,18,경남,부산광역시 기장군 일광면 곡천길 317,http://www.stonegatecc.co.kr/,051-722-7000,180000,220000,220000,220000,90000,1~2부-130000원 3부-140000원
173,173,스톤비치,,,,363,회원제,18,충남,충청남도 태안군 근흥면 갈음이길 77,http://stonebeach-cc.com/,041-670-7000,월별상이,월별상이,월별상이,월별상이,100000,140000
174,174,시그너스,,,1,305,회원제,27,충북,충청북도 충주시 양성면 중방곡길 57-44,http://www.cygnuscc.com/,043-857-5001,170000,230000,230000,230000,90000,150000
176,176,시티파크,,,,952,대중제,18,전남,전라남도 여수시 좌수영로 641,http://www.citypark.co.kr/,061-808-8000,100000원(3부:110000원),140000,140000,140000,90000,130000
177,177,신안,,1,,456,회원제,18,경기,경기도 안성시 고삼면 개울말길 149,http://www.shinangolf.com/,02-3467-0998,월별상이,월별상이,월별상이,월별상이,100000,150000(3부 160000)
